query,response
Where is my order?,Your order is currently being processed. You will receive a tracking number once it has shipped.
Can I return a product?,"Yes, you can return a product within 30 days of delivery. Please visit our returns page for more information."
Do you offer international shipping?,"Yes, we offer international shipping. Shipping rates and delivery times vary by location."
What payment methods do you accept?,"We accept credit/debit cards, PayPal, and Apple Pay for your convenience."
How do I track my order?,You can track your order by entering the tracking number in the 'Track Order' section of our website.
What is your refund policy?,We offer refunds within 14 days of receiving the product if it is in original condition.
Can I change my shipping address after placing an order?,"Yes, but you must contact us within 24 hours to change the shipping address."
How can I contact customer support?,"You can reach our customer support via email, phone, or live chat on our website."
Do you offer discounts for bulk orders?,"Yes, we do offer discounts for bulk orders. Please contact our sales team for more information."
How can I reset my account password?,You can reset your password by clicking 'Forgot Password' on the login page and following the instructions.
Do you offer gift cards?,Yes, we offer digital gift cards that can be used for any purchase on our website.
Can I cancel my order?,"You can cancel your order within 12 hours of placing it. Please contact our support team for assistance."
What are your customer service hours?,"Our customer service is available 24/7 via live chat, and from 9 AM to 6 PM via phone and email."
How do I apply a discount code?,"You can apply a discount code during checkout in the 'Promo Code' field."
Do you offer free shipping?,"Yes, we offer free standard shipping on orders over $50."
How do I subscribe to your newsletter?,"You can subscribe to our newsletter by entering your email at the bottom of our homepage."
Can I exchange a product for a different size?,"Yes, you can exchange a product within 30 days for a different size, subject to availability."
How long does shipping take?,"Shipping times depend on your location, but standard shipping usually takes 3-7 business days."
Do you offer expedited shipping?,"Yes, we offer expedited shipping options at checkout for faster delivery."
Can I add items to my order after it's placed?,"Unfortunately, once an order is placed, you cannot add items. You'll need to place a new order."
What if my product is damaged or defective?,"If your product is damaged or defective, please contact us within 7 days, and we will arrange a replacement or refund."
Do you ship to PO Boxes?,"Yes, we can ship to PO Boxes. However, some oversized items may require a physical address."
How do I update my account information?,"You can update your account information by logging into your account and going to the 'Account Settings' section."
Can I get a price adjustment if the item I bought goes on sale?,"We offer price adjustments within 7 days of purchase if the item goes on sale. Contact support for details."
Is my personal information secure?,"Yes, we use industry-standard encryption to ensure that your personal information is secure."
Do you offer a loyalty program?,"Yes, we offer a loyalty program where you can earn points for every purchase and redeem them for discounts."
How do I leave a review for a product?,"You can leave a review by visiting the product page and clicking the 'Write a Review' button."
What if I received the wrong item?,"If you received the wrong item, please contact customer support, and we will resolve the issue immediately."
Do you offer repairs for damaged items?,"We do not offer repairs, but we can guide you on how to seek repair services for certain brands."
Can I request gift wrapping for my order?,"Yes, we offer gift wrapping for an additional charge during checkout."
Can I return an item bought on sale?,"Yes, sale items can be returned within 30 days unless marked as 'Final Sale.'"
How do I know if an item is in stock?,"The availability of each item is shown on the product page, next to the size and color options."
Can I pre-order items that are out of stock?,"Yes, you can pre-order selected out-of-stock items. Estimated shipping dates will be provided at checkout."
What should I do if my tracking number isn't working?,"If your tracking number isn't working, please wait 24-48 hours for it to update. If the issue persists, contact our support team."
Do you offer custom-made products?,"Currently, we do not offer custom-made products. However, we may offer personalization options in the future."
How can I unsubscribe from promotional emails?,"You can unsubscribe from promotional emails by clicking the 'Unsubscribe' link at the bottom of any email."
Can I combine two discount codes in one order?,"Unfortunately, only one discount code can be applied per order."
Do you restock sold-out items?,"We restock popular items regularly. You can sign up for restock notifications on the product page."
What happens if I miss the delivery?,"If you miss the delivery, the carrier will either leave a note for redelivery or drop it off at a local collection point."
Do you charge sales tax?,"Sales tax is applied where required by law, based on your shipping address."
Do you offer same-day delivery?,"At this time, we do not offer same-day delivery. Standard and expedited shipping options are available at checkout."
Can I pay using installments?,"Yes, we offer installment payment options through our partner services at checkout."
What if I received an incomplete order?,"If part of your order is missing, please contact customer support, and we will send the remaining items as soon as possible."
Can I modify my order after placing it?,"Order modifications are not allowed after placing an order. You can cancel the order within 12 hours and place a new one."
Do you offer phone support?,"Yes, we offer phone support Monday through Friday from 9 AM to 6 PM."
Is your website mobile-friendly?,"Yes, our website is fully optimized for mobile and tablet browsing."
What currencies do you accept?,"We currently accept payments in USD, EUR, GBP, and AUD. The currency can be selected at checkout."
How do I leave feedback on my shopping experience?,"You can leave feedback by completing the survey sent to your email after your order is delivered."
Can I place an order over the phone?,"At this time, we do not accept orders over the phone. All orders must be placed online."
How do I apply for a wholesale account?,"You can apply for a wholesale account by contacting our sales team with your business details."
What should I do if I forget to apply my discount code?,"If you forget to apply your discount code, contact support immediately after placing your order, and we may be able to apply it."
Do you offer virtual consultations?,"Yes, we offer virtual style consultations. Book an appointment through our 'Consultation' page."
Can I schedule a delivery for a specific date?,"We do not offer scheduled deliveries, but you can choose expedited shipping for faster delivery."
How do I know if my payment was successful?,"You will receive an email confirmation with your order details once the payment is successful."
What if my item doesn't fit?,"If your item doesn't fit, you can exchange it for a different size or return it within 30 days for a refund."
Do you offer any eco-friendly packaging options?,"Yes, we offer eco-friendly packaging upon request at checkout."
How do I redeem my gift card?,"You can redeem your gift card by entering the code at checkout in the 'Gift Card' section."
Can I request a specific delivery carrier?,"We do not offer specific carrier options, but we ensure reliable shipping with trusted partners."
What if I entered the wrong email address for my order?,"Contact customer support as soon as possible, and we will update your email address."
How do I qualify for free returns?,"Free returns are offered on orders over $100. Return shipping labels are provided."
Do you ship to military addresses?,"Yes, we ship to APO/FPO/DPO addresses. Delivery times may vary based on location."
Which credit cards do you accept?, "We accept major credit and debit cards, including Visa, MasterCard, American Express, and Discover. Additionally, you can pay using PayPal and Apple Pay."
What is your phone number?, "Our phone number is 510-819-2027"
What is your email address?, "Our email address is info@thehershels.com"
